,0
way/145302700-220,way/145302700-400
way/145461765-220,way/145461765-400
way/145665799-220,way/60919237-380
way/145823172-220,way/145823172-400
way/146449309-225,way/146449309-400
way/146531966-220,way/146531966-400
way/146695955-225,way/146695955-400
way/147132690-225,way/147132690-400
way/147521567-220,way/147521567-380
way/147714395-220,way/147714395-380
way/149306820-220,way/149306820-400
way/149965733-220,way/149965733-400
way/149987048-220,way/149987048-380
way/151168335-220,way/151168335-400
way/151967290-220,way/151967290-380
way/151967291-220,way/151967291-380
way/152018146-220,way/152018146-380
way/152261133-220,way/152261133-380
way/152403632-220,way/152403632-380
way/152481174-220,way/152481174-400
way/152924498-220,way/152924498-380
way/152973139-220,way/152973139-380
way/155227474-220,way/155227474-400
way/156673637-220,way/156673637-380
way/157471230-220,way/157471230-400
way/157660797-220,way/157660797-400
way/159167277-225,way/159167277-400
way/159736514-275,way/159736514-400
way/159930931-220,way/159930931-400
way/160474491-220,way/160474491-400
way/162826525-220,way/162826525-380
way/162828577-220,way/162828577-380
way/162960205-220,way/162960205-380
way/163036722-275,way/163036722-400
way/165513396-220,way/165513396-380
way/165580300-220,way/165580300-400
way/166703766-220,way/166703766-400
way/166703766-275,way/166703766-400
way/167621580-275,way/167621580-400
way/167695568-220,way/167695568-380
way/168351799-220,way/168351799-400
way/169244940-220,way/169244940-380
way/169523046-220,way/169523046-400
way/169729505-220,way/169729505-400
way/169867109-220,way/169867109-400
way/169999915-220,way/169999915-400
way/170028621-225,way/170028621-400
way/170123812-220,way/170123812-400
way/170123812-380,way/170123812-400
way/170424447-220,way/170424447-400
way/170424455-220,way/170424455-400
way/170511092-220,way/170511092-400
way/170946426-220,way/170946426-400
way/170968145-220,way/170968145-400
way/171256169-220,way/171256169-400
way/173582810-220,way/173582810-400
way/175406958-220,way/175406958-400
way/177392130-220,way/177392130-400
way/178294745-220,way/178294745-400
way/178838661-220,way/178838661-400
way/179121616-220,way/179121616-400
way/179260933-225,way/179260933-400
way/179323117-220,way/179323117-400
way/180542657-220,way/180542657-400
way/181125039-220,way/181125039-380
way/181664117-220,way/181664117-400
way/181906370-220,way/181906370-400
way/181912569-220,way/181912569-400
way/182655738-220,way/182655738-400
way/18629425-220,way/18629425-380
way/187832596-220,way/187832596-400
way/188144496-225,way/188144496-400
way/188276460-220,way/24839976-380
way/189501431-220,way/189501431-400
way/190110739-220,way/190110739-400
way/191485195-220,way/191485195-400
way/192677427-220,way/192677427-380
way/193292042-225,way/193292042-400
way/193617444-275,way/193617444-400
way/194903381-220,way/194903381-400
way/196202213-220,way/196202213-400
way/196207063-220,way/196207063-400
way/196215046-220,way/196215046-400
way/196654321-220,way/196654321-400
way/196672665-220,way/196672665-400
way/197827799-220,way/197827799-400
way/198777633-220,way/198777633-400
way/199098050-220,way/199098050-400
way/199098053-220,way/199098053-400
way/199229562-225,way/199229562-400
way/199657972-220,way/199657972-400
way/200511209-275,way/200511209-400
way/200516868-220,way/200516868-400
way/200772307-220,way/200772307-400
way/200772307-236,way/200772307-400
way/202891403-220,way/202891403-400
way/202948507-220,way/202948507-400
way/205384220-220,way/205384220-400
way/206538656-300,way/206538656-420
way/206628449-300,way/206628449-420
way/207248812-220,way/207248812-380
way/207339053-220,way/207339053-400
way/207993342-220,way/207993342-380
way/208263464-220,way/208263464-400
way/209067387-220,RO40-400
way/209175136-220,way/209175136-400
way/210389707-225,way/210389707-400
way/210568055-220,way/210568055-380
way/210831971-220,way/210831971-400
way/212722603-220,way/212722603-380
way/212779654-275,way/212779654-400
way/214483816-225,way/214483816-400
way/222895334-220,way/222895334-400
way/223383886-220,way/5174038-400
way/224885245-400,way/224885245-750
way/225210595-225,way/225210595-400
way/226363063-220,way/226363063-400
way/22720647-220,way/22720647-380
way/22761692-220,way/22761692-380
way/22761839-220,way/22761839-380
way/22765517-220,way/22765517-380
way/22766160-220,way/22766160-380
way/22767509-220,way/22767509-380
way/228718321-220,way/228718321-400
way/229597405-225,way/229597405-400
way/22973070-220,way/22973070-380
way/22975329-275,way/22975329-400
way/229806970-300,way/229806970-420
way/23022100-220,way/23022100-380
way/23084554-220,way/23084554-380
way/23164132-275,way/23164132-400
way/23164256-275,way/23164256-400
way/23232738-275,way/23232738-400
way/23284340-220,way/23284340-380
way/23286313-225,way/23286313-400
way/23287448-225,way/23287448-400
way/23299362-275,way/23299362-400
way/23299657-275,way/23299657-400
way/23380800-220,way/23380800-380
way/234876695-220,way/234876695-400
way/234983117-220,way/234983117-380
way/235370803-225,way/235370803-400
way/23575521-220,way/23575521-400
way/236110936-220,way/236110936-400
way/23641079-220,way/23641079-380
way/238640596-220,way/238640596-400
way/239560640-220,way/239560640-400
way/239947121-220,way/239947121-400
way/239998425-220,way/239998425-400
way/24020441-225,way/24020441-400
way/24025291-225,way/24025291-400
way/241189382-225,way/241189382-400
way/241842600-220,way/241842600-400
way/24253250-220,way/24253250-400
way/24253250-380,way/24253250-400
way/24262656-220,way/24262656-380
way/24462426-220,way/24462426-380
way/24478889-220,way/24478889-380
way/24479003-220,way/24479003-380
way/24479984-220,way/24479984-380
way/245190169-220,way/245190169-400
way/24636044-220,way/24636044-400
way/24667346-220,way/24667346-380
way/24705761-220,way/24705761-380
way/24799890-220,way/24799890-380
way/24839976-220,way/24839976-380
way/24849819-225,way/24849819-400
way/24921206-220,way/24921206-380
way/24976300-220,way/24976300-380
way/251239544-220,way/251239544-400
way/252028146-220,way/252028146-400
way/25306752-220,way/25306752-380
way/254158424-220,way/254158424-400
way/25422135-220,way/25422135-400
way/254235846-220,way/254235846-400
way/254938713-220,way/254938713-400
way/255284259-220,way/255284259-400
way/255293400-220,way/255293400-400
way/255973806-220,way/255973806-400
way/256339597-330,way/256339597-400
way/25786404-220,way/25786404-380
way/25943440-220,way/25943440-380
way/260211728-225,way/260211728-380
way/260986936-220,way/260986936-400
way/261447466-220,way/261447466-400
way/26245195-220,way/26245195-380
way/26376870-225,way/26376870-400
way/264102298-275,way/264102298-400
way/264275258-220,way/264275258-275
way/26472665-220,way/26472665-380
way/26931725-220,way/26931725-400
way/27149550-220,way/27149550-380
way/27163121-275,way/27163121-400
way/27259817-225,way/27259817-400
way/274630377-220,way/274630377-380
way/276291999-220,way/276291999-400
way/27668869-220,way/27668869-400
way/27739871-220,way/27739871-380
way/27763479-220,way/27763479-380
way/27795895-220,way/27795895-380
way/27849030-220,way/27849030-400
way/278968688-220,way/278968688-400
way/279194469-220,way/279194469-400
way/27919734-220,way/27919734-380
way/27936937-220,way/27936937-400
way/27949649-220,way/27949649-400
way/280317944-220,way/280317944-400
way/28099187-220,way/28099187-400
way/28099187-380,way/28099187-400
way/281014574-220,way/281014574-400
way/281804158-220,way/281804158-380
way/28276448-220,way/28276448-400
way/28308003-220,way/28308003-400
way/28349754-220,way/28349754-400
way/28468576-220,way/28468576-400
way/28475691-220,way/28475691-400
way/28477054-220,way/28477054-400
way/28477054-380,way/28477054-400
way/284874050-275,way/284874050-400
way/28625556-220,way/28625556-400
way/28683005-220,way/28683005-400
way/286955409-220,way/286955409-400
way/287685850-300,way/287685850-420
way/28956649-220,way/28956649-380
way/29077623-220,way/29077623-380
way/29084374-220,way/29084374-380
way/29088787-225,way/29088787-400
way/292371992-275,way/292371992-400
way/29331499-220,way/29331499-380
way/293484891-220,way/293484891-400
way/29472852-220,way/29472852-380
way/295444099-300,way/295444099-420
way/296229069-300,way/296229069-420
way/297840585-220,way/297840585-400
way/299750661-220,way/299750661-400
way/30039908-220,way/30039908-380
way/301158539-380,way/301158539-400
way/303915533-220,way/303915533-380
way/31015820-275,way/31015820-400
way/31024391-220,way/31024391-380
way/310502642-275,way/310502642-400
way/31110032-220,way/31110032-225
way/31131320-220,way/31131320-380
way/312728271-225,way/312728271-400
way/31367940-220,way/31367940-380
way/31545125-275,way/31545125-400
way/317499556-220,way/317499556-400
way/318502246-225,way/318502246-400
way/32036484-220,way/32036484-400
way/32076853-220,way/32076853-380
way/32196554-225,way/32196554-400
way/32604320-275,way/1275300370-400
way/327268322-220,way/327268322-400
way/32843531-220,way/32843531-380
way/32943179-220,way/32943179-400
way/33169401-220,way/33169401-380
way/33411203-220,way/33411203-380
way/33771314-220,way/33771314-400
way/33917128-275,way/33917128-400
way/339703159-220,way/61712456-380
way/339706879-220,way/339706879-380
way/34157795-220,way/34157795-380
way/34198056-225,way/34198056-400
way/34585227-220,way/34585227-400
way/35002638-220,way/35002638-380
way/350332649-300,way/350332649-420
way/351672823-220,way/351672823-400
way/35176751-220,way/35176751-380
way/351960012-220,FI8-400
way/356292116-220,way/356292116-380
way/35763480-220,way/35763480-380
way/364949845-220,way/364949845-380
way/36805588-225,way/36805588-400
way/36873258-220,way/36873258-380
way/37031322-220,way/37031322-400
way/37031469-220,way/37031469-400
way/371757485-275,way/371757485-400
way/37764852-220,way/37764852-380
way/38105008-220,way/38105008-400
way/387620061-220,way/387620061-225
way/388655178-220,way/388655178-400
way/38868243-220,way/38868243-380
way/392090271-220,way/500788534-380
way/39389229-225,way/39389229-400
way/39428977-220,way/39428977-400
way/395847307-220,way/395847307-380
way/397960460-380,way/397960460-400
way/40634284-220,way/40634284-380
way/41334805-220,way/41334805-380
way/41389594-220,way/41389594-380
way/41892273-220,way/41892273-400
way/41892273-380,way/41892273-400
way/419423704-220,way/419423704-380
way/419803318-220,way/419803318-400
way/42050342-220,way/42050342-380
way/42097854-220,way/42097854-380
